13:20 Cheltenham (2m 179y)22 RunnersGoing: Good,,,,,,,
5,"8-7145
D","Hewick (104)
J: Paddy Hanlon
T: J J Hanlon","11-y-o
11st 10lb",161Spotlight,"33/1
40/1
50/1",66/1,SP
Non-runners,,,,,,,
4,"196-7P
D","Gwennie May Boy - N/R (82)
J: C J Todd
T: Christian Williams","8-y-o
11st 10lb",151Spotlight,"125/1
100/1
125/1",150/1,SP
8 or more must run for 3 places 1/4 to be paid. 7 runners or less standard EW terms apply,,,,,,,
16:00 Cheltenham (2m 4f 126y)8 RunnersGoing: Good,,,,,,,
Ryanair Chase (Registered As The Festival Trophy) (Grade 1) (Gbb Race) 1,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
"It was thrilling to see the way FACT TO FILE motored down to two out here last year and there was nothing to touch him thereafter, so hopefully he will again give the fans one of the great sights of the meeting. As Banbridge is by no means sure to repeat his fine Kempton form back on this track, it may be Jonbon who provides the main danger. In the same ownership as the selection, a thoroughly sportsmanlike decision to…WWWIt was thrilling to see the way FACT TO FILE motored down to two out here last year and there was nothing to touch him thereafter, so hopefully he will again give the fans one of the great sights of the meeting. As Banbridge is by no means sure to repeat his fine Kempton form back on this track, it may be Jonbon who provides the main danger. In the same ownership as the selection, a thoroughly sportsmanlike decision to tak…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/5 Odds 3 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,"1-4261
CD","Fact To File (38)
J: Mark Walsh
T: W P Mullins","9-y-o
11st 10lb",181Spotlight,"10/11
EVS
10/11",EVS,SP
6,"2-2211
C,D","Jonbon (26)
J: N De Boinville
T: N J Henderson","10-y-o
11st 10lb",177Spotlight,"9/2
4/1
9/2",4/1,SP
5,"131-B1
C,D","Impaire Et Passe (26)
J: Paul Townend
T: W P Mullins","8-y-o
11st 10lb",172Spotlight,"9/2
5/1
9/2",5/1,SP
1,"17-442
C,D","Banbridge (76)
J: S Bowen
T: J P O'brien","10-y-o
11st 10lb",178Spotlight,"7/1
13/2
7/1",15/2,SP
4,"2P-141
D","Heart Wood (70)
J: Darragh O'keeffe
T: H De Bromhead","8-y-o
11st 10lb",170Spotlight,"14/1
12/1
14/1",12/1,SP
7,"5-3321
D","Jpr One (40)
J: Brendan Powell
T: J Tizzard","9-y-o
11st 10lb",168Spotlight,"33/1
40/1
33/1",40/1,SP
9,"-73315
CD","Matata (53)
J: J J Slevin
T: N & W Twiston-Davies","8-y-o
11st 10lb",169Spotlight,"50/1
40/1
50/1",40/1,SP
8,-24725,"Master Chewy (33)
J: Sam Twiston-Davies
T: N & W Twiston-Davies","9-y-o
11st 10lb",162Spotlight,"125/1
100/1
125/1",100/1,SP
Non-runners,,,,,,,
2,"7-3330
D","Croke Park - N/R (39)
J: Jack Kennedy
T: G Elliott","8-y-o
11st 10lb",156Spotlight,"100/1
80/1
66/1",80/1,SP
16:40 Cheltenham (2m 7f 213y)24 RunnersGoing: Good,,,,,,,
Pertemps Network Final Handicap Hurdle (Premier Handicap) (Gbb Race) 1,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Extra PlacesBet In-Running,,,,,,,
Verdict,,,,,,,
"Supremely West is a hot favourite for Dan Skelton who's been something of a maestro in the handicap hurdles at this meeting. He's of major interest, of course, but is far from alone in that and preference is for C'EST DIFFERENT, who is one of the youngest and most lightly raced in the field, yet is unbeaten in four handicaps and swotted the opposition aside on his two attempts at this sort of trip. Absolutely Doyen has been…WWWSupremely West is a hot favourite for Dan Skelton who's been something of a maestro in the handicap hurdles at this meeting. He's of major interest, of course, but is far from alone in that and preference is for C'EST DIFFERENT, who is one of the youngest and most lightly raced in the field, yet is unbeaten in four handicaps and swotted the opposition aside on his two attempts at this sort of trip. Absolutely Doyen has been doi…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Paying 5 Places Instead of 4 at 1/4 odds,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 5 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
7,"3-3546
D","Supremely West (76)
J: Harry Skelton
T: D Skelton","8-y-o
10st 11lb",155Spotlight,"10/3
4/1
7/2",4/1,SP
19,"711-11
D","C'est Different (57)
J: Dylan Johnston
T: S Thomas","6-y-o
10st 8lb",154Spotlight,"17/2
8/1
15/2",7/1,SP
21,07PP-3,"Bold Endeavour (49)
J: James Bowen
T: N J Henderson","10-y-o
10st 7lb",149Spotlight,"15/2
7/1
13/2",7/1,SP
3,"107-21
D","Electric Mason (110)
J: Freddie Gordon
T: C Gordon","7-y-o
11st 1lb",153Spotlight,"11/1
9/1
17/2",9/1,SP
8,"-11111
D","Absolutely Doyen (40)
J: H Cobden
T: P F Nicholls","6-y-o
10st 11lb",153Spotlight,"14/1
12/1
11/1",10/1,SP
18,"0-6211
D","Champagne Chic (26)
J: Lorcan Williams
T: J Scott","6-y-o
10st 8lb",151Spotlight,"18/1
16/1
18/1",16/1,SP
6,"12-411
C,D","Kikijo (96)
J: Callum Pritchard
T: P Hobbs & J White","6-y-o
10st 11lb",155Spotlight,"14/1
16/1
14/1",16/1,SP
4,"2-1421
C","Ace Of Spades (49)
J: Kielan Woods
T: D Skelton","7-y-o
11st 1lb",149Spotlight,"16/1
18/1
16/1",18/1,SP
14,9622P6,"Yeah Man (26)
J: Conor Stone-Walsh
T: G P Cromwell","9-y-o
10st 9lb",145Spotlight,"22/1
25/1
22/1",20/1,SP
17,2-2120,"Letos (62)
J: Danny Mullins
T: A Mullins","6-y-o
10st 9lb",150Spotlight,"18/1
16/1
18/1",20/1,SP
1,"-31121
D","Staffordshire Knot (32)
J: Jack Kennedy
T: G Elliott","8-y-o
12st 1lb",153Spotlight,"18/1
20/1
18/1",20/1,SP
11,"-34143
D","Lavida Adiva (26)
J: B S Hughes
T: Ruth Jefferson","7-y-o
10st 9lb",153Spotlight,"20/1
22/1
25/1",22/1,SP
20,1P4322,"Minella Emperor (26)
J: Mr M J O'neill
T: E Mullins","7-y-o
10st 7lb",152Spotlight,"16/1
18/1
20/1",22/1,SP
5,0-9762,"Minella Sixo (18)
J: Danny Gilligan
T: G Elliott","7-y-o
10st 13lb",148Spotlight,"25/1
22/1
25/1",22/1,SP
10,32-464,"Classic King (76)
J: Ben Jones
T: Miss E C Lavelle","8-y-o
10st 10lb",154Spotlight,"22/1
25/1
28/1",25/1,SP
9,"11P-P4
D","Red Dirt Road (26)
J: Jonjo O'neill Jr.
T: J & A O'neill","9-y-o
10st 10lb",154Spotlight,"28/1
33/1
28/1",25/1,SP
15,"P-4241
D","Melbourne Shamrock (18)
J: Donagh Meyler
T: E Mullins","7-y-o
10st 9lb",146Spotlight,"20/1
22/1
25/1",28/1,SP
13,"241017
D","Duke Silver (38)
J: Hugh Horgan
T: J P O'brien","6-y-o
10st 9lb",147Spotlight,"40/1
33/1
28/1",33/1,SP
2,"037442
CD","Gowel Road (19)
J: Toby Mccain-Mitchell
T: N & W Twiston-Davies","10-y-o
11st 10lb",154Spotlight,"28/1
33/1
40/1",33/1,SP
12,"52-131
D","Ikarak (69)
J: S Bowen
T: O Murphy","8-y-o
10st 9lb",151Spotlight,"50/1
40/1
50/1",40/1,SP
22,2-11F2,"Onewaywest (49)
J: Elliott England
T: B Pauling","7-y-o
10st 6lb",151Spotlight,"28/1
33/1
40/1",50/1,SP
23,0-2582,"Idem (39)
J: P W Wadge
T: L Russell & M Scudamore","8-y-o
10st 4lb",152Spotlight,"66/1
50/1
66/1",50/1,SP
24,205266,"Ike Sport (45)
J: C O'farrell
T: N P Mulholland","8-y-o
10st 3lb",153Spotlight,"50/1
66/1
50/1",66/1,SP
16,1-1410,"Idy Wood (70)
J: G Sheehan
T: Jamie Snowden","8-y-o
10st 9lb",150Spotlight,"50/1
66/1
80/1",100/1,SP
Non-runners,,,,,,,
26,421122,"Turndlightsdownlow - N/R (56)
J: Reserve 2
T: M Keighley","6-y-o
10st 2lb",152Spotlight,"20/1
25/1
20/1",18/1,SP
25,"733329
D","Lihyan - N/R (39)
J: Reserve 1
T: R Menzies","8-y-o
10st 2lb",154Spotlight,"50/1
40/1",50/1,SP
"16 or more must run for 5 places 1/4 to be paid. 12 or more must run for 4 places 1/4 to be paid. In the event of 11 runners or less, standard EW terms will apply.",,,,,,,
17:20 Cheltenham (3m 2f 70y)23 RunnersGoing: Good,,,,,,,
Rosconn Group Fulke Walwyn Kim Muir Challenge Cup Amateur Jockeys' Handicap Chase (Gbb Race) 2,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
"Irish challengers have won six of the last seven runnings and PRENDS GARDE A TOI could be the ideal type for this race for Gordon Elliott, who landed it in 2020 with Milan Native who was also a 7yo novice. The selection finished well for fourth over an extended 3m3f at Punchestown last month and a stronger gallop today should see him to excellent effect. Waterford Whispers could relish the step up in trip and he may be the…WWWIrish challengers have won six of the last seven runnings and PRENDS GARDE A TOI could be the ideal type for this race for Gordon Elliott, who landed it in 2020 with Milan Native who was also a 7yo novice. The selection finished well for fourth over an extended 3m3f at Punchestown last month and a stronger gallop today should see him to excellent effect. Waterford Whispers could relish the step up in trip and he may be the m…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 4 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
11,7-4363,"Waterford Whispers (39)
J: Mr Alan O'sullivan
T: H De Bromhead","8-y-o
11st 6lb",149Spotlight,"7/2
4/1
9/2",4/1,SP
1,2-1225,"Jeriko Du Reponet (53)
J: Mr D O'connor
T: N J Henderson","7-y-o
12st 1lb",144Spotlight,"4/1
9/2
7/2",9/2,SP
19,U42245,"Kim Roque (39)
J: Mr J L Gleeson
T: J P O'brien","6-y-o
11st",146Spotlight,"6/1
11/2
6/1",11/2,SP
8,"7-5241
C","Herakles Westwood (70)
J: Mr F Maguire
T: W Greatrex","9-y-o
11st 6lb",150Spotlight,"10/1
11/1
10/1",9/1,SP
7,2P14F4,"Prends Garde A Toi (25)
J: Mr B O'neill
T: G Elliott","7-y-o
11st 6lb",144Spotlight,"12/1
11/1
12/1",11/1,SP
20,/30-82,"Gericault Roque (26)
J: Mr B Lawless
T: D Pipe","10-y-o
10st 12lb",154Spotlight,"16/1
14/1
16/1",14/1,SP
17,-3533P,"Road To Home (38)
J: Mr P W Mullins
T: W P Mullins","7-y-o
11st",146Spotlight,"12/1
14/1
16/1",14/1,SP
5,8-7760,"Sandor Clegane (75)
J: Mr J W Hendrick
T: P Nolan","9-y-o
11st 7lb",152Spotlight,"20/1
22/1
18/1",16/1,SP
13,"31P-0P
CD","Daily Present (38)
J: Mr B T Stone
T: P Nolan","9-y-o
11st 6lb",149Spotlight,"18/1
20/1
18/1",16/1,SP
2,P6-P57,"Monbeg Genius (26)
J: Mr J L Scallan
T: J & A O'neill","10-y-o
11st 10lb",152Spotlight,"25/1
22/1
20/1",18/1,SP
9,"1P-041
D","King's Threshold (73)
J: Mr H C Swan
T: Miss E C Lavelle","9-y-o
11st 6lb",151Spotlight,"28/1
25/1
22/1",20/1,SP
3,6-3143,"The Enabler (46)
J: Mr R James
T: G Elliott","7-y-o
11st 9lb",148Spotlight,"18/1
20/1
18/1",20/1,SP
10,"44-420
C","Weveallbeencaught (75)
J: Mr J C Barry
T: E Mcnamara","9-y-o
11st 6lb",146Spotlight,"20/1
18/1
20/1",22/1,SP
22,"511-15
C","Ask Brewster (96)
J: Mr S Cotter
T: Mrs C Williams","7-y-o
10st 11lb",143Spotlight,"25/1
28/1
33/1",28/1,SP
6,"7-2872
C","Il Ridoto (70)
J: Miss O Nicholls
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"40/1
33/1
28/1",33/1,SP
23,"4812P0
C","Hung Jury (26)
J: Mr James King
T: M Keighley","11-y-o
10st 10lb",153Spotlight,"50/1
66/1
50/1",40/1,SP
24,"062412
C,D","Lord Accord (110)
J: Mr N Mcparlan
T: N P Mulholland","11-y-o
10st 10lb",150Spotlight,"50/1
40/1
33/1",40/1,SP
4,188-38,"Insurrection (40)
J: Miss Gina Andrews
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"50/1
66/1
80/1",66/1,SP
15,40-30F,"Excello (70)
J: Mr Henry Main
T: N J Henderson","7-y-o
11st 1lb",152Spotlight,"50/1
66/1
80/1",66/1,SP
21,-22U04,"No Time To Wait (19)
J: Mr J M Halford
T: J C Mcconnell","8-y-o
10st 12lb",147Spotlight,"100/1
80/1
100/1",80/1,SP
16,"0341PP
C","Glengouly (12)
J: Mr D Mcgill
T: Faye Bramley","10-y-o
11st",149Spotlight,"50/1
66/1
80/1",100/1,SP
14,7P-P6P,"Olympic Man (74)
J: Mr D Doyle
T: J C Mcconnell","9-y-o
11st 6lb",143Spotlight,"50/1
66/1
80/1",100/1,SP
18,4-7208,"Cave Court (26)
J: Mr O Mcgill
T: N C Kelly","9-y-o
11st",143Spotlight,"150/1
125/1
100/1",125/1,SP
Non-runners,,,,,,,
25,U17-22,"J'arrive De L'est - N/R (47)
J: Reserve 1
T: E Mullins","7-y-o
10st 9lb",150Spotlight,"9/1
10/1
8/1",15/2,SP
26,683325,"Hunter Legend - N/R (26)
J: Reserve 2
T: Miss V Williams","9-y-o
10st 9lb",152Spotlight,"40/1
33/1
40/1",50/1,SP
12,59-1F7,"Uncle Bert - N/R (47)
J: Miss Amber Jackson-Fennell
T: N & W Twiston-Davies","9-y-o
11st 6lb",152Spotlight,"50/1
66/1
50/1",66/1,SP
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Horse,Previous Form,Age,Price,Trainer,Jockey,
,Bambino Fever,11,5,4/1,Willie Mullins,J. Townend,
,Jasmin De Vaux,1,5,9-2,Willie Mullins,Patrick Mullins,
,A Dream To Share,111,5,7-2,John E Kiely,Mr J L Gleeson,
,Facile Vega,11,5,15-8F,Willie Mullins,Patrick Mullins,
,Sir Gerhard,1-11,6,85-40,Willie Mullins,Rachael Blackmore,
,Ferny Hollow,221,5,11-1,Willie Mullins,Paul Townend,
,Envoi Allen,111,5,2-1F,Gordon Elliott,Jamie Codd,
,Relegate,11,5,25-1,Willie Mullins,Katie Walsh,
,Fayonagh,811,6,7-1,Gordon Elliott,Jamie Codd,
,Ballyandy,1121,5,5-1,Nigel Twiston-Davies,Sam Twiston-Davies,
,Moon Racer,1-1,6,9-2F,David Pipe,Tom Scudamore,